cohort_id,name,priority,description,target_rows,notes,STATE,ADDRESS_TYPE,IS_PRIMARY
# HOW TO USE THIS TEMPLATE,,,,,,,,
# - Fill in one row per cohort below the EXAMPLE rows. The EXAMPLE and # rows are ignored on import.,,,,,,,
# - cohort_id: unique number for each cohort (1 2 3 ...),,,,,,,
# - name: short display name shown in the tool,,,,,,,
# - priority: processing order — 1 = run first,,,,,,,
# - description: free-text explanation of this cohort,,,,,,,
# - target_rows: the expected/agreed record count (leave blank if unknown),,,,,,,
# - notes: any sign-off or dependency notes,,,,,,,
# - FILTER COLUMNS (STATE / ADDRESS_TYPE / IS_PRIMARY and any others you add):,,,,,,,
#   Leave blank or write * to apply no filter on that column.,,,,,,,
#   Single value  →  exact match  e.g.  VIC,,,,,,,
# - Comma-separated values → IN filter e.g. VIC,NSW (quote the cell in Excel if value contains a comma),,,,,,,,
# - You can ADD extra filter columns by inserting new column headers to the right.,,,,,,,
# - Save as CSV and use Import Plan (CSV) in the Cohort Plan tab.,,,,,,,
EXAMPLE 1,Cohort 1: Victoria — All Addresses,1,All billing and service addresses in Victoria. First batch to validate the end-to-end process.,25000,Signed off 2026-04-09,VIC,,
EXAMPLE 2,Cohort 2: NSW — Billing Only,2,Billing-type addresses in New South Wales.,18000,,NSW,BILLING,
EXAMPLE 3,Cohort 3: QLD and SA — Billing,3,Billing addresses across Queensland and South Australia combined.,22000,Run after Cohort 2 confirmed complete.,"QLD,SA",BILLING,
EXAMPLE 4,Cohort 4: All Remaining — Primary Records,4,Primary-flagged records in states not covered by cohorts 1–3.,30000,Acts as a clean-up cohort.,,, Y
EXAMPLE 5,Cohort 5: Service Addresses — All States,5,All service-type addresses. Requires Kraken service-address activation flag before loading.,15000,Confirm with Kraken team first.,,SERVICE,
1,,,,,,,, 
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
